dataMessageGUID,sensorID,messageDate,state,signalStrength,voltage,battery,rawData,displayData,plotValue,metNotificationRequirements,gatewayID,dataValue,dataType,plotValues,plotLabels,applicationID,sensorName,accountID
cf69f537-6507-4d78-bf38-83005b1e5926,518781,2020-11-12 17:14:59,0,100,2.81,100,429|4,CO2 Instantaneous: 429 ppm; CO2 TWA: 437 ppm,429,False,947629,429|437,PPM|PPM,429|437,Instantaneous|TWA,106,CO2 Meter - 518781,28135
5f1c0aa1-8019-472e-b844-734e3c915261,518781,2020-11-12 15:14:59,0,100,2.8,100,407|4,CO2 Instantaneous: 407 ppm; CO2 TWA: 443 ppm,407,False,947629,407|443,PPM|PPM,407|443,Instantaneous|TWA,106,CO2 Meter - 518781,28135
410f2ce3-c840-410e-86db-a97a4a1db537,518781,2020-11-12 13:14:59,0,100,2.8,100,433|4,CO2 Instantaneous: 433 ppm; CO2 TWA: 449 ppm,433,False,947629,433|449,PPM|PPM,433|449,Instantaneous|TWA,106,CO2 Meter - 518781,28135
4be681b7-e6d9-4a1c-8cbb-328191679e41,518781,2020-11-12 11:15:00,0,100,2.81,100,466|4,CO2 Instantaneous: 466 ppm; CO2 TWA: 437 ppm,466,False,947629,466|437,PPM|PPM,466|437,Instantaneous|TWA,106,CO2 Meter - 518781,28135
2039d4ee-4c86-41ac-b376-54bc6231dd61,518781,2020-11-12 09:15:00,0,100,2.81,100,462|4,CO2 Instantaneous: 462 ppm; CO2 TWA: 432 ppm,462,False,947629,462|432,PPM|PPM,462|432,Instantaneous|TWA,106,CO2 Meter - 518781,28135
52e1a9da-cd60-48cb-a80c-43eedd9e7b92,518781,2020-11-12 07:14:59,0,100,2.8,100,421|4,CO2 Instantaneous: 421 ppm; CO2 TWA: 428 ppm,421,False,947629,421|428,PPM|PPM,421|428,Instantaneous|TWA,106,CO2 Meter - 518781,28135
605da344-c28f-4ba0-a9bd-ac77818e0afe,518781,2020-11-12 05:14:59,0,100,2.81,100,435|4,CO2 Instantaneous: 435 ppm; CO2 TWA: 426 ppm,435,False,947629,435|426,PPM|PPM,435|426,Instantaneous|TWA,106,CO2 Meter - 518781,28135
b2bf9f8d-7db4-48bc-8b6d-4867dbead0b1,518781,2020-11-12 03:15:00,0,100,2.81,100,434|4,CO2 Instantaneous: 434 ppm; CO2 TWA: 420 ppm,434,False,947629,434|420,PPM|PPM,434|420,Instantaneous|TWA,106,CO2 Meter - 518781,28135
09304d6c-aa32-45f4-bfa3-968c632583da,518781,2020-11-12 01:14:59,0,100,2.81,100,429|4,CO2 Instantaneous: 429 ppm; CO2 TWA: 415 ppm,429,False,947629,429|415,PPM|PPM,429|415,Instantaneous|TWA,106,CO2 Meter - 518781,28135
64087786-9bae-4ff1-8df0-78c0131a921c,518781,2020-11-13 23:14:59,0,100,2.8,100,431|4,CO2 Instantaneous: 431 ppm; CO2 TWA: 416 ppm,431,False,947629,431|416,PPM|PPM,431|416,Instantaneous|TWA,106,CO2 Meter - 518781,28135
